ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000008.SZ,20230206,2.44,2.49,2.42,2.45,2.44,0.01,0.4098,263796.1,64940.391
000008.SZ,20230203,2.46,2.47,2.41,2.44,2.46,-0.02,-0.813,201371.69,48950.994
000008.SZ,20230203,2.46,2.47,2.41,2.44,2.46,-0.02,-0.813,201371.69,48950.994
000008.SZ,20230203,2.46,2.47,2.41,2.44,2.46,-0.02,-0.813,201371.69,48950.994
000008.SZ,20230203,2.46,2.47,2.41,2.44,2.46,-0.02,-0.813,201371.69,48950.994
000008.SZ,20230203,2.46,2.47,2.41,2.44,2.46,-0.02,-0.813,201371.69,48950.994
000008.SZ,20230203,2.46,2.47,2.41,2.44,2.46,-0.02,-0.813,201371.69,48950.994
000008.SZ,20230203,2.46,2.47,2.41,2.44,2.46,-0.02,-0.813,201371.69,48950.994
000008.SZ,20230203,2.46,2.47,2.41,2.44,2.46,-0.02,-0.813,201371.69,48950.994
